name,open_date,X,Y,nearest_bg
University of California Irvine,2003-01-01,198863.92585615048,-481235.7456898629,060590626102
Shell - Torrance,2017-08-21,155975.06247238416,-460468.6327219452,060376501012
Los Angeles International Airport,2018-12-24,149964.4274487217,-451385.75404129084,060372774001
Messer - Emeryville,2018-11-19,-200514.11750575632,-17830.429631668143,060014251041
Air Liquide - Palo Alto,2018-12-24,-188506.41358548545,-64295.588580409065,060855107002
Air Liquide - Anaheim,2016-11-29,200106.81451489223,-459871.84039507946,060590762024
Air Products and Chemicals Inc - Los Angeles,2016-06-15,151479.4317069446,-436385.01153793,060372144003
California State University Los Angeles - Hydrogen Research & Fueling Facility,2014-06-04,169321.75839633084,-437212.57035433967,060372017001
True Zero - Campbell,2016-03-15,-173074.62479315867,-80969.93641871912,060855065023
True Zero - Coalinga,2016-01-08,-21488.088309368446,-195978.97395618772,060190079022
True Zero - Costa Mesa,2016-01-21,193128.20009458804,-483007.0831608656,060590637025
True Zero - Hayward,2016-05-15,-185530.7981187869,-36811.68039012421,060014362001
True Zero - La Canada Flintridge,2016-02-15,166675.47875694744,-422388.155474077,060374605021
True Zero - Fremont,2017-09-07,-173724.00748865303,-53134.352987086866,060014423011
True Zero - Lake Forest,2016-03-18,216299.44106592817,-481042.44532062905,060590524232
True Zero - Long Beach,2016-02-29,167613.78315971195,-464617.01169663714,060375720022
True Zero - Hollywood Blvd,2016-11-10,155549.51170451407,-433542.8235426578,060371905102
True Zero - Lincoln Blvd,2016-10-01,145894.6358024131,-449043.23332564253,060372766012
True Zero - Mill Valley,2016-07-14,-221124.19438188957,-11241.941685651895,060411262002
True Zero - Thousand Oaks,2018-04-02,107304.74603808663,-426795.8006101856,061110071002
True Zero - Del Mar,2016-12-15,258385.38451799206,-560620.0346155707,060730083292
True Zero - San Jose,2016-01-15,-169676.76099156612,-69774.21389900753,060855051001
True Zero - Santa Barbara,2016-03-15,22875.652601957816,-397524.3449316649,060830001022
True Zero - Saratoga,2016-03-15,-177002.2518486813,-79526.22985373065,060855074022
True Zero - South Pasadena,2017-04-10,170672.806230559,-432092.1869894257,060374805004
True Zero - South San Francisco,2016-02-15,-211972.37932103858,-38267.611560629215,060816023001
True Zero - Truckee,2016-07-14,-19256.5054484145,145471.02721255505,060570012062
Air Products and Chemicals Inc - Lawndale,2017-06-26,151626.70830256402,-457124.21231176844,060376039004
Iwatani - San Ramon,2017-07-28,-173197.20872891185,-25300.00130416127,060133451081
Iwatani - San Juan Capistrano,2016-01-28,216825.17682854526,-496757.90194608504,060590423121
Air Products and Chemicals Inc - Santa Monica,2016-02-15,141333.08527450208,-442217.10972214537,060377018015
Air Products and Chemicals Inc - Woodland Hills,2016-10-01,128563.04096430437,-426764.1243334203,060371374011
Ramos Oil Co - Iwatani - Shell,2014-10-08,-132400.27426106005,62542.57023889758,061130102011
SERVCO,2018-07-26,-3947668.4077912513,-1031654.8212317936,060450111022
Shell - San Francisco 3rd St,2019-11-06,-210623.49492352278,-23546.142107973807,060750615005
Shell - San Francisco Mission St,2020-02-14,-213264.71093741627,-27975.70839091111,060750254011
True Zero - Sunnyvale,2021-02-11,-179722.014723257,-71894.46861745045,060855082032
True Zero - Oakland,2019-09-20,-198302.86551853453,-20666.60857904516,060014037022
Shell - Sacramento,2019-05-22,-120304.8753352582,62849.25799916359,060670054041
True Zero - Campbell - East Hamilton Ave,2021-05-24,-172067.34103897706,-78474.65581515525,060855064024
Shell - Citrus Heights,2018-12-19,-114757.02842520455,74525.11504590744,060670081352
True Zero - Studio City,2021-04-26,150989.702860804,-429665.0228499151,060371438001
True Zero - Mission Hills,2020-10-26,140745.53024729146,-414907.1059780009,060371091001
True Zero - Fountain Valley,2020-07-03,189759.24631298607,-478008.11365844076,060590992302
South Coast Air Quality Management District - Diamond Bar,2015-03-25,200409.59921844522,-443726.78926660074,060374033231
True Zero - Concord,2021-05-28,-181066.82929883964,-2624.988599207718,060133212003
True Zero - Placentia,2021-05-07,196536.55117045235,-459266.5459716795,060590117222
True Zero - Aliso Viejo,2021-06-22,212907.96380580362,-490916.4046719312,060590423202
